name
+ DE PEP'S MAGAZINE
01 NET LE MAGAZINE DE LA HIGH-TECH
20 MINUTES BORDEAUX AQUITAINE
20 MINUTES GRAND LYON
20 MINUTES GRAND PARIS
20 MINUTES GRAND TOULOUSE
20 MINUTES LILLE NORD
20 MINUTES MARSEILLE PROVENCE
20 MINUTES MONTPELLIER LANGUEDOC
20 MINUTES NANTES
20 MINUTES NICE COTE D'AZUR
20 MINUTES RENNES
20 MINUTES RESEAU NATIONAL 
20 MINUTES RESEAU NATIONAL CULTURE
20 MINUTES STRASBOURG
A NOUS PARIS
A/R
AD
AIR & COSMOS
AIR FRANCE MADAME
AIR FRANCE MAGAZINE
ART ET DECORATION
ARTS MAGAZINE
AS YOU LIKE
ASTRAPI
ATTITUDE
AUTO HEBDO
AUTO MOTO
AUTO PLUS
AUTOMOBILES CLASSIQUES
AVANTAGES
AVANTAGES HORS SERIE
BABAR
BEAUX ARTS MAGAZINE
BIBA
BIEN ETRE ET SANTE
ÇA M'INTERESSE 
CA M'INTERESSE HISTOIRE
CA M'INTERESSE HORS SERIE
CAMPAGNE DECORATION
CAMPING CAR MAGAZINE
CAPITAL
CAPITAL HORS SERIE
CARS
CAUSETTE
CHALLENGES
CHICA VAMPIRO
CHOC
CLASSICA
CLOSER
CNEWS MATIN - EDITION PARIS ILE DE FRANCE
CNEWS MATIN BORDEAUX 7
CNEWS MATIN EDITION COTE D'AZUR
CNEWS MATIN EDITION GRAND OUEST
CNEWS MATIN EDITION LILLE
CNEWS MATIN EDITION STRASBOURG
CNEWS MATIN EDITION TOULOUSE
CNEWS MATIN LYON PLUS
CNEWS MATIN MONTPELLIER PLUS
CNEWS MATIN NATIONAL
CNEWS MATIN PROVENCE
CONNAISSANCE DES ARTS
COSMOPOLITAN
COURRIER INTERNATIONAL
CUISINE ACTUELLE
CUISINE ACTUELLE HORS SERIE
CUISINE ET VINS DE FRANCE
CUISINE ET VINS DE FRANCE HORS SERIE
DECIDEURS MAGAZINE
DETENTE JARDIN
DETOURS EN FRANCE
DIAPASON
DISNEY GIRL
DISNEY PRINCESSES
DOSSIER FAMILIAL
EDGAR
ELLE
ELLE A TABLE
ELLE DECORATION
ENTREVUE
ESPRIT D'ICI
FEMME ACTUELLE
FEMME ACTUELLE HORS SERIE
FEMME ACTUELLE JEUX
FEMME ACTUELLE JEUX EXTRA
FEMME ACTUELLE JEUX HORS SERIE
FEMME ACTUELLE JEUX REGIONS
